urut_nasional,urut_provinsi,rerata,npsn,sekolah,provinsi,kota_kab,jenis
518,87,"527,99",20327967,SMAN 2 SURAKARTA More..,Jawa Tengah,Kota Surakarta,SMA
519,84,"527,979",20102572,SMAN 63 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
520,88,"527,947",20339023,SMA NEGERI 2 PATI More..,Jawa Tengah,Kab. Pati,SMA
521,12,"527,907",10303499,SMAN 2 PADANG More..,Sumatera Barat,Kota Padang,SMA
522,36,"527,899",P2967096,PKBM KAK SETO More..,Banten,Kota Tangerang Selatan,PKBM
523,10,"527,896",10404022,SMAS SANTA MARIA More..,Riau,Kota Pekanbaru,SMA
524,102,"527,804",60726806,SMAIT INSANTAMA PLUS More..,Jawa Barat,Kota Bogor,SMA
525,89,"527,777",20327565,SMAN 4 MAGELANG More..,Jawa Tengah,Kota Magelang,SMA
526,76,"527,769",20532138,SMAS KATOLIK SANTA AGNES More..,Jawa Timur,Kota Surabaya,SMA
527,13,"527,713",10303500,SMAN 3 PADANG More..,Sumatera Barat,Kota Padang,SMA
528,103,"527,633",20269747,SMA NURUL FIKRI BOARDING SCHOOL LEMBANG More..,Jawa Barat,Kab. Bandung Barat,SMA
529,77,"527,602",20533664,SMAN 2 More..,Jawa Timur,Kota Malang,SMA
530,78,"527,565",69786332,SMA ISLAM TERPADU AL USWAH More..,Jawa Timur,Kota Surabaya,SMA
531,11,"527,491",10403985,SMA NEGERI 1 PEKANBARU More..,Riau,Kota Pekanbaru,SMA
532,104,"527,359",69822688,SMAS ISLAM TERPADU SITUWANGI CIKAJANG More..,Jawa Barat,Kab. Garut,SMA
533,105,"527,194",20252288,SMAS PRESIDEN (BOARDING SCHOOL) More..,Jawa Barat,Kab. Bekasi,SMA
534,79,"527,045",20503413,SMA NEGERI 3 JOMBANG More..,Jawa Timur,Kab. Jombang,SMA
535,12,"527,024",10496358,SMAS PLUS TARUNA ANDALAN More..,Riau,Kab. Pelalawan,SMA
536,106,"526,994",20206151,SMAN 1 BALEENDAH More..,Jawa Barat,Kab. Bandung,SMA
537,80,"526,96",20574536,SMA AL MUSLIM  More..,Jawa Timur,Kab. Sidoarjo,SMA
538,90,"526,933",69823287,SMA AL-ABIDIN BILINGUAL BOARDING SCHOOL More..,Jawa Tengah,Kota Surakarta,SMA
539,91,"526,929",20328879,SMA NEGERI 11 More..,Jawa Tengah,Kota Semarang,SMA
540,81,"526,926",20501784,SMAN 1 KRIAN More..,Jawa Timur,Kab. Sidoarjo,SMA
541,107,"526,909",20214989,SMAN 1 SUMBER More..,Jawa Barat,Kab. Cirebon,SMA
542,6,"526,895",69941830,MAN INSAN CENDEKIA PASER More..,Kalimantan Timur,Kab. Paser ,MA 
543,92,"526,807",20341151,SMAS AL ITISHOM GRABAG More..,Jawa Tengah,Kab. Magelang,SMA
544,85,"526,788",20102564,SMAN 87 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
545,93,"526,782",20310425,SMAN 1 KARTASURA More..,Jawa Tengah,Kab. Sukoharjo,SMA
546,86,"526,742",20103308,SMAN 59 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
547,40,"526,72",20401132,SMAN 2 NGAGLIK More..,DI Yogyakarta,Kab. Sleman,SMA
548,82,"526,61",20532231,SMAN 20 SURABAYA More..,Jawa Timur,Kota Surabaya,SMA
549,83,"526,5",69948430,SMA  IT AL HIKMAH More..,Jawa Timur,Kab. Blitar ,SMA
550,7,"526,475",30400382,SMAN 1 BERAU More..,Kalimantan Timur,Kab. Berau,SMA
551,87,"526,446",20107334,SMA TARAKANITA 1 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
552,94,"526,443",20317483,SMAN 1 BAE KUDUS More..,Jawa Tengah,Kab. Kudus,SMA
553,37,"526,346",20603267,SMAN 7 KOTA TANGERANG SELATAN More..,Banten,Kota Tangerang Selatan,SMA
554,88,"526,307",20102562,SMAN 97 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
