data_key,urut_nasional,urut_provinsi,rerata,npsn,sekolah,provinsi,kota_kab,jenis
2134,134,20,"557,979",20503414,SMA NEGERI 2 JOMBANG More..,Jawa Timur,Kab. Jombang,SMA
2135,135,14,"557,896",20402794,SMA NEGERI 1 WATES More..,DI Yogyakarta,Kab. Kulon Progo,SMA
2136,136,18,"557,888",20328896,SMA NEGERI 02 More..,Jawa Tengah,Kota Semarang,SMA
2137,137,3,"557,793",10303461,SMAN 1 PADANG More..,Sumatera Barat,Kota Padang,SMA
2138,138,22,"557,758",20219262,SMAS ALLOYSIUS 2 More..,Jawa Barat,Kota Bandung,SMA
2139,139,3,"557,581",69787182,SMAS Mutiara Harapan More..,Riau,Kab. Pelalawan,SMA
2140,140,39,"557,32",20103223,SMAS LABSCHOOL JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
2141,141,4,"557,145",10303462,SMAN 10 PADANG More..,Sumatera Barat,Kota Padang,SMA
2142,142,19,"557,128",20327969,SMAN 4 SURAKARTA More..,Jawa Tengah,Kota Surakarta,SMA
2143,143,20,"557,049",20339021,SMA NEGERI 1 PATI More..,Jawa Tengah,Kab. Pati,SMA
2144,144,15,"557,005",20603377,SMAS STELLA MARIS BSD More..,Banten,Kota Tangerang Selatan,SMA
2145,145,40,"556,92",20102212,SMAN 38 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
2146,146,21,"556,838",20328916,SMA KARANGTURI More..,Jawa Tengah,Kota Semarang,SMA
2147,147,21,"556,822",20532242,SMAN 1 SURABAYA More..,Jawa Timur,Kota Surabaya,SMA
2148,148,22,"556,666",69883214,SMA PLUS AR RAHMAT More..,Jawa Timur,Kab. Bojonegoro,SMA
2149,149,1,"556,378",50103124,SMAN 4 DENPASAR More..,Bali,Kota Denpasar,SMA
2150,150,15,"556,286",20401146,SMAN 1 GODEAN More..,DI Yogyakarta,Kab. Sleman,SMA
2151,151,2,"556,109",11002204,SMAS KATOLIK YOS SUDARSO More..,Kepulauan Riau,Kota Batam,SMA
2152,152,41,"556,016",20103256,SMAN 99 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
2153,153,22,"555,946",20302165,SMAN 2 PURWOKERTO More..,Jawa Tengah,Kab. Banyumas,SMA
2154,154,23,"555,646",20317494,SMAN 1 KUDUS More..,Jawa Tengah,Kab. Kudus,SMA
2155,155,42,"555,493",20103285,SMAN 12 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
2156,156,5,"555,457",69983368,MAN INSAN CENDEKIA PADANG PARIAMAN More..,Sumatera Barat,Kab. Padang Pariaman ,MA 
2157,157,23,"555,312",20534388,SMAN 2 KEDIRI More..,Jawa Timur,Kota Kediri,SMA
2158,158,43,"555,254",20100201,SMAN 77 JAKARTA More..,DKI Jakarta,Kota Jakarta Pusat,SMA
2159,159,44,"555,181",20100198,SMAS SANTA THERESIA JAKARTA More..,DKI Jakarta,Kota Jakarta Pusat,SMA
2160,160,4,"555,143",10208520,SMAN 2 BALIGE More..,Sumatera Utara,Kab. Toba Samosir,SMA
2161,161,1,"555,068",69941607,MAN Insan Cendekia Oki More..,Sumatera Selatan,Kab. Ogan Komering Ilir,MA 
2162,162,16,"554,776",20401161,SMAN 1 DEPOK More..,DI Yogyakarta,Kab. Sleman,SMA
2163,163,45,"554,768",20103303,SMAN 71 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
2164,164,24,"554,585",20328893,SMA NEGERI 05 More..,Jawa Tengah,Kota Semarang,SMA
2165,165,25,"554,285",20302182,SMAN 1 PURWOKERTO More..,Jawa Tengah,Kab. Banyumas,SMA
2166,166,23,"554,109",20238524,SMK-SMAK BOGOR More..,Jawa Barat,Kota Bogor,SMK
2167,167,5,"554,105",10210836,SMAS SUTOMO 2 More..,Sumatera Utara,Kota Medan,SMA
2168,168,24,"554,072",69870886,SMA KRISTEN PENABUR SUMMARECON BEKASI More..,Jawa Barat,Kota Bekasi,SMA
2169,169,25,"553,99",20223818,SMAN 2 KOTA DEPOK More..,Jawa Barat,Kota Depok,SMA
